ODA/YEM_PCPIPCH,"Yemen Inflation % change, Average Consumer Prices"
ODA/NPL_BCA,"Nepal Current Account Balance, USD Billions"
ODA/HUN_GGXONLB_NGDP,"Hungary General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/CHE_NGDPDPC,"Switzerland GDP per Capita at Current Prices, USD"
ODA/POLVOIL_USD,Olive Oil Price
ODA/ARE_NGDPPC,"United Arab Emirates GDP per Capita at Current Prices, LCU"
ODA/AUT_BCA_NGDPD,"Austria Current Account Balance, % of GDP"
ODA/BRA_NGDPPC,"Brazil GDP per Capita at Current Prices, LCU"
ODA/PTEA_USD,Tea Price
ODA/MNE_NGDPD,"Montenegro GDP at Current Prices, USD Billions"
ODA/THA_NGDPPC,"Thailand GDP per Capita at Current Prices, LCU"
ODA/ERI_NGDPDPC,"Eritrea GDP per Capita at Current Prices, USD"
ODA/SGP_NGDPDPC,"Singapore GDP per Capita at Current Prices, USD"
ODA/BRN_PCPIE,"Brunei Darussalam Inflation Index, End of Period Consumer Prices"
ODA/TUR_NGDPDPC,"Turkey GDP per Capita at Current Prices, USD"
ODA/PMETA_INDEX,Metals Price Index
ODA/BEN_PCPIEPCH,"Benin Inflation % change, End of Period Consumer Prices"
ODA/UGA_PCPIEPCH,"Uganda Inflation % change, End of Period Consumer Prices"
ODA/AZE_PCPIEPCH,"Azerbaijan Inflation % change, End of Period Consumer Prices"
ODA/GAB_BCA_NGDPD,"Gabon Current Account Balance, % of GDP"
ODA/FRA_PCPIEPCH,"France Inflation % change, End of Period Consumer Prices"
ODA/BFA_PCPIEPCH,"Burkina Faso Inflation % change, End of Period Consumer Prices"
ODA/BGR_BCA_NGDPD,"Bulgaria Current Account Balance, % of GDP"
ODA/POL_PCPIPCH,"Poland Inflation % change, Average Consumer Prices"
ODA/NPL_PCPIEPCH,"Nepal Inflation % change, End of Period Consumer Prices"
ODA/COM_NGDP_R,"Comoros GDP at Constant Prices, LCU Billions"
ODA/SWZ_NGDPDPC,"Swaziland GDP per Capita at Current Prices, USD"
ODA/VUT_PCPIEPCH,"Vanuatu Inflation % change, End of Period Consumer Prices"
ODA/SWE_GGXWDN_NGDP,"Sweden General Government Net Debt, % of GDP"
ODA/RUS_NGDP_RPCH,"Russia GDP at Constant Prices, % change"
ODA/LVA_GGXONLB_NGDP,"Latvia General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/SYR_PCPIPCH,"Syria Inflation % change, Average Consumer Prices"
ODA/BFA_NGDPRPC,"Burkina Faso GDP per Capita at Constant Prices, LCU"
ODA/MDV_NGDPRPC,"Maldives GDP per Capita at Constant Prices, LCU"
ODA/DNK_NGDPRPC,"Denmark GDP per Capita at Constant Prices, LCU"
ODA/MMR_NGDPRPC,"Myanmar GDP per Capita at Constant Prices, LCU"
ODA/UGA_GGX_NGDP,"Uganda General Government Total Expenditure, % of GDP"
ODA/PAN_NGDPPC,"Panama GDP per Capita at Current Prices, LCU"
ODA/PHIDE_USD,Hides Price
ODA/SLB_NGDPRPC,"Solomon Islands GDP per Capita at Constant Prices, LCU"
ODA/BEN_GGXONLB_NGDP,"Benin General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/PBANSOP_USD,Bananas Price
ODA/PPOIL_USD,Palm Oil Price
ODA/DEU_NGDPDPC,"Germany GDP per Capita at Current Prices, USD"
ODA/UZB_PCPIEPCH,"Uzbekistan Inflation % change, End of Period Consumer Prices"
ODA/EGY_GGXWDN_NGDP,"Egypt General Government Net Debt, % of GDP"
ODA/SYC_NGDPDPC,"Seychelles GDP per Capita at Current Prices, USD"
ODA/MDA_NGDP_D,Moldova GDP Deflator
ODA/GNB_NGDPDPC,"Guinea-Bissau GDP per Capita at Current Prices, USD"
ODA/COM_PCPIEPCH,"Comoros Inflation % change, End of Period Consumer Prices"
ODA/PAK_NGDPPC,"Pakistan GDP per Capita at Current Prices, LCU"
ODA/COM_NGDP_D,Comoros GDP Deflator
ODA/PNG_NGDPRPC,"Papua New Guinea GDP per Capita at Constant Prices, LCU"
ODA/NPL_NGDPRPC,"Nepal GDP per Capita at Constant Prices, LCU"
ODA/GUY_PCPIEPCH,"Guyana Inflation % change, End of Period Consumer Prices"
ODA/BRN_PCPIEPCH,"Brunei Darussalam Inflation % change, End of Period Consumer Prices"
ODA/SMR_NGDP_R,"San Marino GDP at Constant Prices, LCU Billions"
ODA/PCOFFOTM_USD,Arabica Coffee Price
ODA/NZL_NGDPPC,"New Zealand GDP per Capita at Current Prices, LCU"
ODA/COD_PCPIPCH,"Democratic Republic of the Congo Inflation % change, Average Consumer Prices"
ODA/BDI_PCPIEPCH,"Burundi Inflation % change, End of Period Consumer Prices"
ODA/PPOULT_USD,Poultry Price
ODA/SYR_NGDP_D,Syria GDP Deflator
ODA/BEL_NGDPPC,"Belgium GDP per Capita at Current Prices, LCU"
ODA/COG_PCPIEPCH,"Republic of Congo Inflation % change, End of Period Consumer Prices"
ODA/TON_NGDPPC,"Tonga GDP per Capita at Current Prices, LCU"
ODA/VCT_PCPIEPCH,"St. Vincent and the Grenadines Inflation % change, End of Period Consumer Prices"
ODA/PRT_NGDPRPC,"Portugal GDP per Capita at Constant Prices, LCU"
ODA/MUS_GGXONLB_NGDP,"Mauritius General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/CRI_NGDPPC,"Costa Rica GDP per Capita at Current Prices, LCU"
ODA/KGZ_PCPIEPCH,"Kyrgyz Republic Inflation % change, End of Period Consumer Prices"
ODA/MNG_PCPIEPCH,"Mongolia Inflation % change, End of Period Consumer Prices"
ODA/EST_GGXONLB_NGDP,"Estonia General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/CMR_PCPIPCH,"Cameroon Inflation % change, Average Consumer Prices"
ODA/PAK_PCPIEPCH,"Pakistan Inflation % change, End of Period Consumer Prices"
ODA/TTO_GGXONLB_NGDP,"Trinidad and Tobago General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/COG_PCPIPCH,"Republic of Congo Inflation % change, Average Consumer Prices"
ODA/SUR_PCPIPCH,"Suriname Inflation % change, Average Consumer Prices"
ODA/PWOOLC_USD,Coarse Wool Price
ODA/PBEVE_INDEX,Beverage Price Index
ODA/SLB_PCPIEPCH,"Solomon Islands Inflation % change, End of Period Consumer Prices"
ODA/DOM_NGDPRPC,"Dominican Republic GDP per Capita at Constant Prices, LCU"
ODA/GTM_GGXONLB,"Guatemala General Government Primary Net Lending/Borrowing, USD Billions"
ODA/MRT_NGDPDPC,"Mauritania GDP per Capita at Current Prices, USD"
ODA/TON_NGDPDPC,"Tonga GDP per Capita at Current Prices, USD"
ODA/EGY_PCPIEPCH,"Egypt Inflation % change, End of Period Consumer Prices"
ODA/PALUM_USD,Aluminum Price
ODA/PNGASJP_USD,Japan Natural Gas Price
ODA/BRN_PCPI,"Brunei Darussalam Inflation Index, Average Consumer Prices"
ODA/SVK_NGDPPC,"Slovak Republic GDP per Capita at Current Prices, LCU"
ODA/PSOIL_USD,Soybean Oil Price
ODA/IDN_PCPIPCH,"Indonesia Inflation % change, Average Consumer Prices"
ODA/NAM_NGDP,"Namibia GDP at Current Prices, LCU Billions"
ODA/NZL_NGDPRPC,"New Zealand GDP per Capita at Constant Prices, LCU"
ODA/NIC_PCPIPCH,"Nicaragua Inflation % change, Average Consumer Prices"
ODA/PLW_TX_RPCH,"Palau Exports of Goods and services, % change"
ODA/ATG_NGDPDPC,"Antigua and Barbuda GDP per Capita at Current Prices, USD"
ODA/ARM_TX_RPCH,"Armenia Exports of Goods and services, % change"
ODA/AUT_NGDPRPC,"Austria GDP per Capita at Constant Prices, LCU"
ODA/AUT_GGXONLB_NGDP,"Austria General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/BLR_NGDP_D,Belarus GDP Deflator
ODA/BEL_LE,"Belgium Employment, Millions"
ODA/PAN_PCPIEPCH,"Panama Inflation % change, End of Period Consumer Prices"
ODA/PER_TXG_RPCH,"Peru Exports of Goods, % change"
ODA/PHL_NGDPRPC,"Philippines GDP per Capita at Constant Prices, LCU"
ODA/BLZ_NGDPRPC,"Belize GDP per Capita at Constant Prices, LCU"
ODA/BLZ_NGDPDPC,"Belize GDP per Capita at Current Prices, USD"
ODA/BLZ_GGXONLB_NGDP,"Belize General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/CAF_GGXONLB_NGDP,"Central African Republic General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/BOL_TX_RPCH,"Bolivia Exports of Goods and services, % change"
ODA/BRA_PCPIEPCH,"Brazil Inflation % change, End of Period Consumer Prices"
ODA/BGR_NGDP_R,"Bulgaria GDP at Constant Prices, LCU Billions"
ODA/BGR_PCPIPCH,"Bulgaria Inflation % change, Average Consumer Prices"
ODA/BFA_NGDP_RPCH,"Burkina Faso GDP at Constant Prices, % change"
ODA/CIV_NGDP_D,Cote d'Ivoire GDP Deflator
ODA/CIV_NGDP,"Cote d'Ivoire GDP at Current Prices, LCU Billions"
ODA/CYP_PCPIPCH,"Cyprus Inflation % change, Average Consumer Prices"
ODA/DMA_TXG_RPCH,"Dominica Exports of Goods, % change"
ODA/SLV_NGDP_R,"El Salvador GDP at Constant Prices, LCU Billions"
ODA/GNQ_NGDPPC,"Equatorial Guinea GDP per Capita at Current Prices, LCU"
ODA/ETH_NGDP_D,Ethiopia GDP Deflator
ODA/HTI_GGR_NGDP,"Haiti General Government Revenue, % of GDP"
ODA/HTI_TXG_RPCH,"Haiti Exports of Goods, % change"
ODA/HND_LUR,"Honduras Unemployment Rate, % of Total Labor Force"
ODA/IND_GGX_NGDP,"India General Government Total Expenditure, % of GDP"
ODA/ITA_GGXWDG_NGDP,"Italy General Government Gross Debt, % of GDP"
ODA/JPN_NGDPDPC,"Japan GDP per Capita at Current Prices, USD"
ODA/CYP_BCA_NGDPD,"Cyprus Current Account Balance, % of GDP"
ODA/EGY_NGDP_D,Egypt GDP Deflator
ODA/CZE_PCPIEPCH,"Czech Republic Inflation % change, End of Period Consumer Prices"
ODA/AFG_BCA_NGDPD,"Afghanistan Current Account Balance, % of GDP"
ODA/AFG_NGDPRPC,"Afghanistan GDP per Capita at Constant Prices, LCU"
ODA/AFG_NGDPDPC,"Afghanistan GDP per Capita at Current Prices, USD"
ODA/AFG_GGXONLB_NGDP,"Afghanistan General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/ALB_NGDP_D,Albania GDP Deflator
ODA/DNK_GGSB,"Denmark General Government Structural Balance, USD Billions"
ODA/DZA_PCPIEPCH,"Algeria Inflation % change, End of Period Consumer Prices"
ODA/DNK_BCA_NGDPD,"Denmark Current Account Balance, % of GDP"
ODA/DJI_NGDPRPC,"Djibouti GDP per Capita at Constant Prices, LCU"
ODA/AGO_NGDPPC,"Angola GDP per Capita at Current Prices, LCU"
ODA/AGO_PCPIEPCH,"Angola Inflation % change, End of Period Consumer Prices"
ODA/AGO_GGX_NGDP,"Angola General Government Total Expenditure, % of GDP"
ODA/AGO_GGXONLB_NGDP,"Angola General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/EGY_GGX_NGDP,"Egypt General Government Total Expenditure, % of GDP"
ODA/ATG_GGXWDN_NGDP,"Antigua and Barbuda General Government Net Debt, % of GDP"
ODA/DMA_NGDPPC,"Dominica GDP per Capita at Current Prices, LCU"
ODA/AFG_PCPIEPCH,"Afghanistan Inflation % change, End of Period Consumer Prices"
ODA/ALB_LP,"Albania Population, Millions"
ODA/DJI_NGDP_D,Djibouti GDP Deflator
ODA/DZA_GGXWDN_NGDP,"Algeria General Government Net Debt, % of GDP"
ODA/ATG_PCPIPCH,"Antigua and Barbuda Inflation % change, Average Consumer Prices"
ODA/ARM_PCPIEPCH,"Armenia Inflation % change, End of Period Consumer Prices"
ODA/ARM_GGX_NGDP,"Armenia General Government Total Expenditure, % of GDP"
ODA/ARM_NGSD_NGDP,"Armenia Gross National Savings, % of GDP"
ODA/AUT_PCPIEPCH,"Austria Inflation % change, End of Period Consumer Prices"
ODA/AZE_LP,"Azerbaijan Population, Millions"
ODA/BHR_PCPIEPCH,"Bahrain Inflation % change, End of Period Consumer Prices"
ODA/GRC_NGDPDPC,"Greece GDP per Capita at Current Prices, USD"
ODA/BHS_TXG_RPCH,"The Bahamas Exports of Goods, % change"
ODA/BHS_GGXCNL_NGDP,"The Bahamas General Government Net Lending/Borrowing, % of GDP"
ODA/BHR_NGDP_RPCH,"Bahrain GDP at Constant Prices, % change"
ODA/BHR_NGDPRPC,"Bahrain GDP per Capita at Constant Prices, LCU"
ODA/BGD_GGX_NGDP,"Bangladesh General Government Total Expenditure, % of GDP"
ODA/BRB_NGDP_D,Barbados GDP Deflator
ODA/BLR_PCPIEPCH,"Belarus Inflation % change, End of Period Consumer Prices"
ODA/BEL_PCPIEPCH,"Belgium Inflation % change, End of Period Consumer Prices"
ODA/BEL_PCPIPCH,"Belgium Inflation % change, Average Consumer Prices"
ODA/BEL_TM_RPCH,"Belgium Imports of Goods and services, % change"
ODA/BEL_GGXWDN_NGDP,"Belgium General Government Net Debt, % of GDP"
ODA/DOM_PCPIPCH,"Dominican Republic Inflation % change, Average Consumer Prices"
ODA/BEN_BCA_NGDPD,"Benin Current Account Balance, % of GDP"
ODA/BEN_NGDPRPC,"Benin GDP per Capita at Constant Prices, LCU"
ODA/BEN_GGX_NGDP,"Benin General Government Total Expenditure, % of GDP"
ODA/BOL_PCPIEPCH,"Bolivia Inflation % change, End of Period Consumer Prices"
ODA/BTN_NGDP_D,Bhutan GDP Deflator
ODA/BOL_LP,"Bolivia Population, Millions"
ODA/BIH_PCPIEPCH,"Bosnia and Herzegovina Inflation % change, End of Period Consumer Prices"
ODA/BTN_BCA_NGDPD,"Bhutan Current Account Balance, % of GDP"
ODA/BOL_NGDP_D,Bolivia GDP Deflator
ODA/BRA_TM_RPCH,"Brazil Imports of Goods and services, % change"
ODA/BOL_GGXWDN_NGDP,"Bolivia General Government Net Debt, % of GDP"
ODA/BOL_PCPIPCH,"Bolivia Inflation % change, Average Consumer Prices"
ODA/BOL_NID_NGDP,"Bolivia Total Investment, % of GDP"
ODA/GMB_LP,"The Gambia Population, Millions"
ODA/BOL_BCA_NGDPD,"Bolivia Current Account Balance, % of GDP"
ODA/BRA_GGXCNL,"Brazil General Government Net Lending/Borrowing, USD Billions"
ODA/BWA_PCPIPCH,"Botswana Inflation % change, Average Consumer Prices"
ODA/BWA_GGX,"Botswana General Government Total Expenditure, USD Billions"
ODA/BRA_GGXWDG_NGDP,"Brazil General Government Gross Debt, % of GDP"
ODA/BGR_NGDPDPC,"Bulgaria GDP per Capita at Current Prices, USD"
ODA/BGR_PCPIEPCH,"Bulgaria Inflation % change, End of Period Consumer Prices"
ODA/BRN_TX_RPCH,"Brunei Darussalam Exports of Goods and services, % change"
ODA/BGR_NGDPRPC,"Bulgaria GDP per Capita at Constant Prices, LCU"
ODA/CPV_PCPIPCH,"Cabo Verde Inflation % change, Average Consumer Prices"
ODA/DOM_PCPIEPCH,"Dominican Republic Inflation % change, End of Period Consumer Prices"
ODA/CPV_TXG_RPCH,"Cabo Verde Exports of Goods, % change"
ODA/FSM_GGR_NGDP,"Micronesia General Government Revenue, % of GDP"
ODA/KHM_PCPIEPCH,"Cambodia Inflation % change, End of Period Consumer Prices"
ODA/CMR_LP,"Cameroon Population, Millions"
ODA/CAN_NGDP_RPCH,"Canada GDP at Constant Prices, % change"
ODA/CAN_NGDP_D,Canada GDP Deflator
ODA/GIN_NGDP_FY,"Guinea GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/CAF_NGDP_R,"Central African Republic GDP at Constant Prices, LCU Billions"
ODA/ETH_GGXWDN_NGDP,"Ethiopia General Government Net Debt, % of GDP"
ODA/FJI_BCA_NGDPD,"Fiji Current Account Balance, % of GDP"
ODA/CHL_BCA,"Chile Current Account Balance, USD Billions"
ODA/CHN_NGDPD,"China GDP at Current Prices, USD Billions"
ODA/CHN_GGXONLB_NGDP,"China General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/COL_TMG_RPCH,"Colombia Imports of Goods, % change"
ODA/COD_NGDPPC,"Democratic Republic of the Congo GDP per Capita at Current Prices, LCU"
ODA/COG_GGXCNL_NGDP,"Republic of Congo General Government Net Lending/Borrowing, % of GDP"
ODA/DEU_GGXWDN_NGDP,"Germany General Government Net Debt, % of GDP"
ODA/CIV_TMG_RPCH,"Cote d'Ivoire Imports of Goods, % change"
ODA/HRV_NGDP_RPCH,"Croatia GDP at Constant Prices, % change"
ODA/HRV_GGR_NGDP,"Croatia General Government Revenue, % of GDP"
ODA/HRV_BCA_NGDPD,"Croatia Current Account Balance, % of GDP"
ODA/GAB_PCPIPCH,"Gabon Inflation % change, Average Consumer Prices"
ODA/GHA_NGDPRPC,"Ghana GDP per Capita at Constant Prices, LCU"
ODA/GHA_GGR,"Ghana General Government Revenue, USD Billions"
ODA/GHA_PCPIEPCH,"Ghana Inflation % change, End of Period Consumer Prices"
ODA/GRD_NGDP_D,Grenada GDP Deflator
ODA/OMN_GGXONLB_NGDP,"Oman General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/GHA_GGXWDN_NGDP,"Ghana General Government Net Debt, % of GDP"
ODA/PLW_TMG_RPCH,"Palau Imports of Goods, % change"
ODA/PAN_NGDP_RPCH,"Panama GDP at Constant Prices, % change"
ODA/GTM_NGDP_R,"Guatemala GDP at Constant Prices, LCU Billions"
ODA/GRD_BCA,"Grenada Current Account Balance, USD Billions"
ODA/GIN_GGXWDG,"Guinea General Government Gross Debt, USD Billions"
ODA/GIN_GGXWDN_NGDP,"Guinea General Government Net Debt, % of GDP"
ODA/GIN_GGXONLB_NGDP,"Guinea General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/GUY_NGDP_R,"Guyana GDP at Constant Prices, LCU Billions"
ODA/LCA_TMG_RPCH,"St. Lucia Imports of Goods, % change"
ODA/GUY_NID_NGDP,"Guyana Total Investment, % of GDP"
ODA/GUY_TXG_RPCH,"Guyana Exports of Goods, % change"
ODA/HTI_TX_RPCH,"Haiti Exports of Goods and services, % change"
ODA/SUR_GGXWDG_NGDP,"Suriname General Government Gross Debt, % of GDP"
ODA/SWZ_GGXONLB,"Swaziland General Government Primary Net Lending/Borrowing, USD Billions"
ODA/HND_GGXONLB_NGDP,"Honduras General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/HND_NID_NGDP,"Honduras Total Investment, % of GDP"
ODA/DZA_NGDP,"Algeria GDP at Current Prices, LCU Billions"
ODA/DZA_GGX_NGDP,"Algeria General Government Total Expenditure, % of GDP"
ODA/HKG_NGDP_D,Hong Kong SAR GDP Deflator
ODA/HKG_NGDPDPC,"Hong Kong SAR GDP per Capita at Current Prices, USD"
ODA/ARG_PCPIPCH,"Argentina Inflation % change, Average Consumer Prices"
ODA/HKG_LP,"Hong Kong SAR Population, Millions"
ODA/HKG_GGX_NGDP,"Hong Kong SAR General Government Total Expenditure, % of GDP"
ODA/HUN_NGDPDPC,"Hungary GDP per Capita at Current Prices, USD"
ODA/AUT_NGDPDPC,"Austria GDP per Capita at Current Prices, USD"
ODA/AUT_GGX_NGDP,"Austria General Government Total Expenditure, % of GDP"
ODA/BGD_TMG_RPCH,"Bangladesh Imports of Goods, % change"
ODA/IND_TX_RPCH,"India Exports of Goods and services, % change"
ODA/MHL_GGXONLB_NGDP,"Marshall Islands General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/IDN_GGR_NGDP,"Indonesia General Government Revenue, % of GDP"
ODA/IDN_GGX_NGDP,"Indonesia General Government Total Expenditure, % of GDP"
ODA/IRL_NGDPDPC,"Ireland GDP per Capita at Current Prices, USD"
ODA/IRL_NGAP_NPGDP,"Ireland Output Gap, % of potential GDP"
ODA/IRL_NGDPRPC,"Ireland GDP per Capita at Constant Prices, LCU"
ODA/ISR_NGDP_RPCH,"Israel GDP at Constant Prices, % change"
ODA/IRL_BCA_NGDPD,"Ireland Current Account Balance, % of GDP"
ODA/IRL_GGXWDN_NGDP,"Ireland General Government Net Debt, % of GDP"
ODA/ISR_NGDPRPC,"Israel GDP per Capita at Constant Prices, LCU"
ODA/ISR_GGXONLB_NGDP,"Israel General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/ISR_GGXWDG_NGDP,"Israel General Government Gross Debt, % of GDP"
ODA/ITA_NGDPRPC,"Italy GDP per Capita at Constant Prices, LCU"
ODA/ITA_NID_NGDP,"Italy Total Investment, % of GDP"
ODA/ITA_TX_RPCH,"Italy Exports of Goods and services, % change"
