id,dataset_code,database_code,name,description,refreshed_at,newest_available_date,oldest_available_date,column_names,frequency,type,premium,database_id
11480787,MAR_GGSB_NPGDP,ODA,"Morocco General Government Structural Balance, % of GDP","Morocco General Government Structural Balance, % of GDP.  Units: Percent of potential GDP.  Multiplier: .  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  The structural budget balance refers to the general government cyclically adjusted balance adjusted for nonstructural elements beyond the economic cycle. These include temporary financial sector and asset price movements as well as one-off, or temporary, revenue or expenditure items. The cyclically adjusted balance is the fiscal balance adjusted for the effects of the economic cycle; see, for example, A. Fedelino. A. Ivanova and M. Horton ?Computing Cyclically Adjusted Balances and Automatic Stabilizers? IMF Technical Guidance Note No. 5, http://www.imf.org/external/pubs/ft/tnm/2009/tnm0905.pdf.  See notes for:  General government structural balance (National currency)..",2015-12-18 17:19:53 UTC,2020-12-31,2000-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11480920,PNG_GGXWDG,ODA,"Papua New Guinea General Government Gross Debt, USD Billions","Papua New Guinea General Government Gross Debt, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).  Source: Ministry of Finance or Treasury Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Face value Primary domestic currency: Papua New Guinea kina Data last updated: 08/2015.",2015-12-18 17:20:00 UTC,2020-12-31,1994-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11480921,PNG_GGXWDG_NGDP,ODA,"Papua New Guinea General Government Gross Debt, % of GDP","Papua New Guinea General Government Gross Debt, % of GDP.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).  See notes for:  General government gross debt (National currency)..",2015-12-18 17:20:00 UTC,2020-12-31,1994-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11481283,TLS_NGDP_D,ODA,Timor-Leste GDP Deflator,"Timor-Leste GDP Deflator.  Units: Index.  Multiplier: .  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.  See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)..",2015-12-18 17:20:24 UTC,2020-12-31,2000-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11481344,TUN_GGSB_NPGDP,ODA,"Tunisia General Government Structural Balance, % of GDP","Tunisia General Government Structural Balance, % of GDP.  Units: Percent of potential GDP.  Multiplier: .  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  The structural budget balance refers to the general government cyclically adjusted balance adjusted for nonstructural elements beyond the economic cycle. These include temporary financial sector and asset price movements as well as one-off, or temporary, revenue or expenditure items. The cyclically adjusted balance is the fiscal balance adjusted for the effects of the economic cycle; see, for example, A. Fedelino. A. Ivanova and M. Horton ?Computing Cyclically Adjusted Balances and Automatic Stabilizers? IMF Technical Guidance Note No. 5, http://www.imf.org/external/pubs/ft/tnm/2009/tnm0905.pdf.  See notes for:  General government structural balance (National currency)..",2015-12-18 17:20:26 UTC,2020-12-31,1991-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11481372,TUV_PCPIE,ODA,"Tuvalu Inflation Index, End of Period Consumer Prices","Tuvalu Inflation Index, End of Period Consumer Prices.  Units: Index.  Multiplier: .  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers? incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.  Source: Central Statistical Directorate Latest actual data: 2013 Frequency of source data: Quarterly Base year: 2000 Primary domestic currency: Australian dollar Data last updated: 09/2015.",2015-12-18 17:20:27 UTC,2020-12-31,2000-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11481373,TUV_PCPIEPCH,ODA,"Tuvalu Inflation % change, End of Period Consumer Prices","Tuvalu Inflation % change, End of Period Consumer Prices.  Units: Percent change.  Multiplier: .  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).   Annual percentages of end of period consumer prices are year-on-year changes.  See notes for:  Inflation, end of period consumer prices (Index)..",2015-12-18 17:20:27 UTC,2020-12-31,2001-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11481439,VUT_NID_NGDP,ODA,"Vanuatu Total Investment, % of GDP","Vanuatu Total Investment, % of GDP.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993]  Source: National Statistics Office Latest actual data: 2013 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Vanuatu vatu Data last updated: 09/2015.",2015-12-18 17:20:31 UTC,2020-12-31,2003-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11481505,ZWE_NGDP_FY,ODA,"Zimbabwe GDP Corresponding to Fiscal Year, Current Prices, LCU Billions","Zimbabwe GDP Corresponding to Fiscal Year, Current Prices, LCU Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Gross domestic product corresponding to fiscal year is the country?s GDP based on the same period during the year as their fiscal data. In the case of countries whose fiscal data are based on a fiscal calendar (e.g., July to June), this series would be the country?s GDP over that same period. For countries whose fiscal data are based on a calendar year (i.e., January to December), this series will be the same as their GDP in current prices.  Source: Ministry of Finance or Treasury Latest actual data: 2014 Notes: Fiscal data prior to 2009 are not reliable. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Current market value. In U.S. dollars Primary domestic currency: U.S. dollar Data last updated: 09/2015.",2015-12-18 17:20:33 UTC,2020-12-31,2000-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11481506,ZWE_GGXWDG,ODA,"Zimbabwe General Government Gross Debt, USD Billions","Zimbabwe General Government Gross Debt, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).  Source: Ministry of Finance or Treasury Latest actual data: 2014 Notes: Fiscal data prior to 2009 are not reliable. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Current market value. In U.S. dollars Primary domestic currency: U.S. dollar Data last updated: 09/2015.",2015-12-18 17:20:33 UTC,2020-12-31,2005-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11481507,ZWE_GGXWDG_NGDP,ODA,"Zimbabwe General Government Gross Debt, % of GDP","Zimbabwe General Government Gross Debt, % of GDP.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).  See notes for:  General government gross debt (National currency)..",2015-12-18 17:20:33 UTC,2020-12-31,2005-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11481508,ZWE_BCA,ODA,"Zimbabwe Current Account Balance, USD Billions","Zimbabwe Current Account Balance, USD Billions.  Units: U.S. dollars.  Multiplier: Billions.  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.  Source: Reserve Bank of Zimbabwe and Ministry of Finance. Latest actual data: 2013. Structural break in 2010 due to a shift in the data source from exchange control data to customs data for trade statistics BOP Manual used: Balance of Payments Manual, fourth edition (BPM4) Primary domestic currency: U.S. dollar Data last updated: 09/2015.",2015-12-18 17:20:33 UTC,2020-12-31,1980-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
11481509,ZWE_BCA_NGDPD,ODA,"Zimbabwe Current Account Balance, % of GDP","Zimbabwe Current Account Balance, % of GDP.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.  See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)..",2015-12-18 17:20:33 UTC,2020-12-31,1990-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
23647917,AGO_GGXONLB,ODA,"Angola General Government Primary Net Lending/Borrowing, USD Billions","Angola General Government Primary Net Lending/Borrowing, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).  Source: Ministry of Finance or Treasury Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Other General government includes: Central Government;Other;. Central Government and provincial governments Valuation of public debt: Nominal value Primary domestic currency: Angolan kwanza Data last updated: 09/2015.",2015-12-18 17:18:53 UTC,2020-12-31,1996-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
23647920,AGO_GGXONLB_NGDP,ODA,"Angola General Government Primary Net Lending/Borrowing, % of GDP Billions","Angola General Government Primary Net Lending/Borrowing, % of GDP Billions.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).  See notes for:  General government primary net lending/borrowing (National currency)..",2015-12-18 17:18:53 UTC,2020-12-31,1996-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
23647952,AZE_GGXONLB,ODA,"Azerbaijan General Government Primary Net Lending/Borrowing, USD Billions","Azerbaijan General Government Primary Net Lending/Borrowing, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).  Source: Ministry of Finance or Treasury Latest actual data: 2014 Notes: Since the general government accounts for Azerbaijan are not available, all general government series are equal to the central government series. Central government includes state budget and main extrabudgetary funds, including operations of the oil fund and the social protection fund. Start/end months of reporting year: January/December GFS Manual used: in transition to 2001 GFS Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Face value Primary domestic currency: Azerbaijan manat Data last updated: 09/2015.",2015-12-18 17:18:56 UTC,2020-12-31,1994-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
23647953,AZE_GGXONLB_NGDP,ODA,"Azerbaijan General Government Primary Net Lending/Borrowing, % of GDP Billions","Azerbaijan General Government Primary Net Lending/Borrowing, % of GDP Billions.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).  See notes for:  General government primary net lending/borrowing (National currency)..",2015-12-18 17:18:56 UTC,2020-12-31,1994-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
23648018,BTN_GGXONLB,ODA,"Bhutan General Government Primary Net Lending/Borrowing, USD Billions","Bhutan General Government Primary Net Lending/Borrowing, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).  Source: Ministry of Finance or Treasury Latest actual data: 2012/13 Fiscal assumptions: Royal Government of Bhutan's Medium Term Expenditure Framework as detailed in Five Year Plans (including foreign grants projections), technical data on projected hydropower generation and sales, and staff projections of other non-hydropower revenues. Start/end months of reporting year: July/June GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Cash General government includes: Central Government Primary domestic currency: Bhutanese ngultrum Data last updated: 07/2015.",2015-12-18 17:19:01 UTC,2020-12-31,1982-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
23648022,BTN_GGXONLB_NGDP,ODA,"Bhutan General Government Primary Net Lending/Borrowing, % of GDP Billions","Bhutan General Government Primary Net Lending/Borrowing, % of GDP Billions.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2013 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).  See notes for:  General government primary net lending/borrowing (National currency)..",2015-12-18 17:19:01 UTC,2020-12-31,1982-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
23648029,BOL_GGXONLB,ODA,"Bolivia General Government Primary Net Lending/Borrowing, USD Billions","Bolivia General Government Primary Net Lending/Borrowing, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).  Source: Ministry of Finance or Treasury Latest actual data: 2014 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds;Monetary Public Corporations, incl. central bank;Nonmonetary Financial Public Corporations;Nonfinancial Public Corporation; Valuation of public debt: Nominal value Primary domestic currency: Bolivian boliviano Data last updated: 09/2015.",2015-12-18 17:19:01 UTC,2020-12-31,1985-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
23648030,BOL_GGXONLB_NGDP,ODA,"Bolivia General Government Primary Net Lending/Borrowing, % of GDP Billions","Bolivia General Government Primary Net Lending/Borrowing, % of GDP Billions.  Units: Percent of GDP.  Multiplier: .  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).  See notes for:  General government primary net lending/borrowing (National currency)..",2015-12-18 17:19:01 UTC,2020-12-31,1985-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
23648034,BIH_GGXONLB,ODA,"Bosnia and Herzegovina General Government Primary Net Lending/Borrowing, USD Billions","Bosnia and Herzegovina General Government Primary Net Lending/Borrowing, USD Billions.  Units: National currency.  Multiplier: Billions.  Estimates begin after 2014 .  This data is sourced from www.opendataforafrica.org where it is offered under an open data licence (www.opendataforafrica.org/legal/termsofuse).  Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).  Source: Ministry of Finance or Treasury. Additional data received from the Indirect Tax Authority Latest actual data: 2014 Fiscal assumptions: Budget, macro framework, structural reforms set by program, and WEO. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government;Social Security Funds;Other; Valuation of public debt: Face value Primary domestic currency: Convertible marka Data last updated: 08/2015.",2015-12-18 17:19:02 UTC,2020-12-31,1998-12-31,"[""Date"", ""Value""]",annual,Time Series,false,4443
